List of Courses  [CS Department] <V 1.3>,,,,,,,,,,,,,,,,,,,,,,
Code,Course Title,Teacher Name,Credit Hours,Offered for,Category,Time Slots,Pre-Req,Entery in Time Table,CS-Section Count,,,,,,,,,,,,,
CL205,Operating Systems Lab (CS-C2),,1,BS(CS),CS (Core),17,,,,,,,,,,,,,,,,
CS409,Data Warehousing & Data mining Lab (CS-1),,1,BS(CS),CS (Elective),17,,,,,,,,,,,,,,,,
CS409,Data Warehousing & Data mining Lab (CS-2),,1,BS(CS),CS (Elective),17,,,,,,,,,,,,,,,,
,CS 2016,,,,,,,,,,,,,,,,,,,,,
CS307,"Computer Networks (CS-A, CS-D)","Taimur Bakhshi, Dr",3,BS(CS),CS (Core),8,CS201,6,,,,,,,,,,,,,,
CS307,"Computer Networks (CS-C, CS-B)","Ibrahim Nadir, Mr",3,BS(CS),CS (Core),8,CS201,,,,,,,,,,,,,,,
CS307,Computer Networks (CS-E),"Asad Jahangir, Mr (VF) ",3,BS(CS),CS (Core),8,CS201,,,,,,,,,,,,,,,
CS307,Computer Networks (CS-F),"Ibrahim Nadir, Mr (VF)",3,BS(CS),CS (Core),8,CS201,,,,,,,,,,,,,,,
EE204,"Computer Architecture (CS-A, CS-B)","Aamir Shafi, Dr",3,BS(CS),CS (Core),8,EE213,6,,,,,,,,,,,,,,
EE204,"Computer Architecture (CS-C, CS-D)","Haroon Mahmood, Dr",3,BS(CS),CS (Core),8,EE213,,,,,,,,,,,,,,,
EE204,Computer Architecture (CS-E),"Furqan Arshad, Mr (VF)",3,BS(CS),CS (Core),8,EE213,,,,,,,,,,,,,,,
EE204,Computer Architecture (CS-F),"Ahsan Azhar, Mr. (VF)",3,BS(CS),CS (Core),8,EE213,,,,,,,,,,,,,,,
CS303,Software Engineering (CS-A),"Ali Afzal Malik, Dr",3,BS(CS),CS (Core),8,CS309,4,,,,,,,,,,,,,,
CS303,"Software Engineering (CS-D, CS-E)","Zeeshan Ali Rana, Dr",3,BS(CS),CS (Core),8,CS309,4,,,,,,,,,,,,,,
CS303,"Software Engineering (CS-B, CS-C)","Muhammad Kamran Lodhi, Dr            ",3,BS(CS),CS (Core),8,CS309,,,,,,,,,,,,,,,
CS301,Theory of Automata (CS),"Mehreen Saeed, Dr ",3,BS(CS),CS (Core),8,CS201,1,,,,,,,,,,,,,,
CS401,"Artificial Intelligence (CS-A, CS-B)","Kashif Zafar, Dr",3,BS(CS),CS (Core),8,,2,,,,,,,,,,,,,,
CS302,"Design & Analysis of Algorithms (CS-A, CS-B)","Mirza Mubasher Baig, Dr",3,BS(CS),CS (Core),8,CS201,1,,,,,,,,,,,,,,
CS302,Design & Analysis of Algorithms (CS-C),"Sarim Baig, Mr",3,BS(CS),CS (Core),8,CS201,1,,,,,,,,,,,,,,
CS406,Web Programming (CS-B),"Mohammad Talha, Mr (VF)",3,BS(CS),CS (Elective),8,CS203,,1,,1,,,,,,,,,,,
CS440,Software for Mobile Devices (CS-B),"Syed Ahmad Shahwaiz, Mr (VF) ",3,BS(CS),CS (Elective),8,"CS103,201",,1,,1,,,,,,,,,,,
CS317,Information Retrieval (CS-A),"Maryam Bashir, Dr",3,BS(CS),CS (Elective),8,"CS103,201",,1,,1,,,,,,,,,,,
CS402,Compiler Construction (CS),"Aamir Raheem, Mr",3,BS(CS),CS (Elective),8,"CS201,301",,1,,1,,,,,,,,,,,
CS497,Software Testing (CS),"Madiha Malik, Ms (VF) ",3,BS(CS),CS (Elective),8,,,2,,1,,,,,,,,,,,
CS433,Advanced Programming (CS-B),"Abdul Maroof, Mr (VF) ",3,BS(CS),CS (Elective),8,,1,,,,,,,,,,,,,,
CS495,Fundamental of Computer Vision (CS-B),"Syed Asif M Gilani, Dr",3,BS(CS),CS (Elective),8,,,1,,1,,,,,,,,,,,
CL307,Computer Networks Lab (CS-A1),,1,BS(CS),CS (Core),17,CS201,,,,,,,,,,,,,,,
CL307,Computer Networks Lab (CS-A2),,1,BS(CS),CS (Core),17,CS201,,,,,,,,,,,,,,,
CL307,Computer Networks Lab (CS-B1),,1,BS(CS),CS (Core),17,CS201,,,,,,,,,,,,,,,
CL307,Computer Networks Lab (CS-B2),,1,BS(CS),CS (Core),17,CS201,,,,,,,,,,,,,,,
CL307,Computer Networks Lab (CS-C1),,1,BS(CS),CS (Core),17,CS201,,,,,,,,,,,,,,,
CL307,Computer Networks Lab (CS-C2),,1,BS(CS),CS (Core),17,CS201,,,,,,,,,,,,,,,
CL307,Computer Networks Lab (CS-D1),,1,BS(CS),CS (Core),17,CS201,,,,,,,,,,,,,,,
CL307,Computer Networks Lab (CS-D2),,1,BS(CS),CS (Core),17,CS201,,,,,,,,,,,,,,,
CL307,Computer Networks Lab (CS-E1),,1,BS(CS),CS (Core),17,CS201,,,,,,,,,,,,,,,
CL307,Computer Networks Lab (CS-E2),,1,BS(CS),CS (Core),17,CS201,,,,,,,,,,,,,,,
CL307,Computer Networks Lab (CS-F1),,1,BS(CS),CS (Core),17,CS201,,,,,,,,,,,,,,,
CL307,Computer Networks Lab (CS-F2),,1,BS(CS),CS (Core),17,CS201,,,,,,,,,,,,,,,
,CS 2015,,,,,,,,,,,,,,,,,,,,,
CS449,"Professional Issues in IT (CS-A, CS-B, CS-C)","Amir Iqbal, Mr",3,BS(CS),CS (Core),8,CS303,1,,,,,,,,,,,,,,
,MS(CS) (18-19),,,,,,,,11,,,,,,,,,,,,,
CS501,Advanced Analysis of Algorithms (MS),"Saira Karim, Dr",3,MS(CS),CS (Core),8,,1,,,,,,,,,,,,,,
CS507,Theory of Programming Languages (MS),"Muhammad Kamran Lodhi, Dr            ",3,MS(CS),CS (Core),8,,1,,,,,,,,,,,,,,
EE502,Advanced Computer Architecture (MS),"Aamir Shafi, Dr",3,MS(CS),CS (Core),8,,1,,,,,,,,,,,,,,
SS511,Research Methodology (MS),"Taimur Bakhshi, Dr",1,MS(CS),CS (Core),17,,1,,,,,,,,,,,,,,
CS319,"Applied Programming (MS-A, MS-B)","Samin Iftikhar, Ms",3,MS(CS),Pre-Req (NC),8,,2,,,,,,,,,,,,,,
CS557,Statistical Pattern Recog. & Learning (MS),"Mirza Mubasher Baig, Dr",3,MS(CS),CS (Elective),8,,1,,,,,,,,,,,,,,
CS566,Evolutionay Computation (MS),"Irfan Younas, Dr",3,MS(CS),CS (Elective),8,,1,,,,,,,,,,,,,,
CS566,Evolutionary Computation,"Irfan Younas, Dr",3,MS(CS),CS (Elective),8,,,,,,,,,,,,,,,,
CS429,Data Mining (MS),"Zareen Alamgir, Dr",3,MS(CS),CS (Elective),8,,1,,,,,,,,,,,,,,
CN503,Internet of Things (MS),"Haroon Mahmood, Dr",3,MS(CS),CS (Elective),8,,1,,,,,,,,,,,,,,
CS540,Design Patterns,"Wafa Basit, Dr (VF)",3,MS(CS),CS (Elective),8,,1,,,,,,,,,,,,,,
CS591,MS Thesis - I,,3,MS(CS),CS (Core),8,,,,,,,,,,,,,,,,
CS592,MS Thesis - II,,3,MS(CS),CS (Core),8,CS591,,,,,,,,,,,,,,,
,MS(SPM) (18-19),,,,,,,,6,,,,,,,,,,,,,
CS517,Software Project Management (MS),"Ali Afzal Malik, Dr",3,MS(SPM),SPM (Core),8,,1,,,,,,,,,,,,,,
CS563,Software Process Management & Metrics (MS),"Muhammad Umair Khan, Dr",3,MS(SPM),SPM (Core),8,,1,,,,,,,,,,,,,,
CS563,Software Process Management and Metrics,"Muhammad Umair Khan, Dr",3,MS(SPM),SPM (Core),8,,,,,,,,,,,,,,,,
CS558,Marketing Management (MS),,3,MS(SPM),MG (Elective),8,,1,,,,,,,,,,,,,,
CS511,Advanced Software Engineering (MS),"Ghulam Ahmad Farrukh, Dr (VF)",3,MS (SPM),CS (Elective),8,,1,,,,,,,,,,,,,,
CS625,Topics in Software Engineering (MS),"Zeeshan Ali Rana, Dr",3,MS(SPM),SPM (Core),8,,1,,,,,,,,,,,,,,
CS587,MS Research Project I (MS),"Ghulam Ahmad Farrukh, Dr (VF)",3,MS(SPM),SPM (Core),8,,1,,,,,,,,,,,,,,
CS588,MS Research Project II (MS),"Ghulam Ahmad Farrukh, Dr (VF)",3,MS(SPM),SPM (Core),8,CS587,1,,,,,,,,,,,,,,
CS588,Research Project - I / II,,3,MS(SPM),SPM (Core),8,,,,,,,,,,,,,,,,
,MS(DS) (Fall-19),,,,,,,Total Sec= ,63,,,,,,,,,,,,,
CS319,Applied Programming (MS-DS),,3,MS(DS),CS (Core),8,,1,,,,,,,,,,,,,,
DS501,Stat. and Math. Methods in Data Science,"Mehreen Saeed, Dr ",3,MS(DS),CS (Core),8,,1,,,,,,,,,,,,,,
DS500,Data Science Tools and Technique,"Kashif Zafar, Dr",3,MS(DS),CS (Core),8,,1,,,,,,,,,,,,,,
DS500,Data Science Tools and Tech.,,3,MS(DS),CS (Core),8,,1,,,,,,,,,,,,,,
CS553,Applied Image Processing,"Syed Asif M Gilani, Dr",3,MS(DS),CS (Core),8,,1,,,,,,,,,,,,,,
,MS(DS) (Fall-18),,,,,,,Total Sec= ,105,,,,,,,,,,,,,
CS579,Cloud Computing,"Muhammad Usman Awais, Dr",3,MS(DS),CS (Core),8,,1,,,,,,,,,,,,,,
CS535,Natural Language Processing,"Maryam Bashir, Dr",3,MS(DS),CS (Core),8,,1,,,,,,,,,,,,,,
DS591,MS Thesis-I,,3,MS(DS),CS (Core),8,,1,,,,,,,,,,,,,,

